Latitude,Longitude,Color,Stn Name,Stn No
1.281873788,103.8590733,BLUE,BAYFRONT MRT STATION,DT16
1.341223176,103.77581,BLUE,BEAUTY WORLD MRT STATION,DT5
1.334742117,103.9179554,BLUE,BEDOK NORTH MRT STATION,DT29
1.33660783,103.9322077,BLUE,BEDOK RESERVOIR MRT STATION,DT30
1.29886427,103.8503799,BLUE,BENCOOLEN MRT STATION,DT21
1.313672233,103.8629702,BLUE,BENDEMEER MRT STATION,DT23
1.322423979,103.8161362,BLUE,BOTANIC GARDENS MRT STATION,DT9
1.299550746,103.8568623,BLUE,BUGIS MRT STATION,DT14
1.379002117,103.7615559,BLUE,BUKIT PANJANG MRT STATION,DT1
1.369369831,103.764714,BLUE,CASHEW MRT STATION,DT2
1.284748969,103.8444484,BLUE,CHINATOWN MRT STATION,DT19
1.27944619,103.8528356,BLUE,DOWNTOWN MRT STATION,DT17
1.335382137,103.9623407,BLUE,EXPO MRT STATION,DT35
1.292478928,103.8443255,BLUE,FORT CANNING MRT STATION,DT20
1.321505838,103.8718904,BLUE,GEYLANG BAHRU MRT STATION,DT24
1.362344869,103.7674369,BLUE,HILLVIEW MRT STATION,DT3
1.305403642,103.8554713,BLUE,JALAN BESAR MRT STATION,DT22
1.334967302,103.9084393,BLUE,KAKI BUKIT MRT STATION,DT28
1.335665121,103.7838201,BLUE,KING ALBERT PARK MRT STATION,DT6
1.303916484,103.8524167,BLUE,LITTLE INDIA MRT STATION,DT12
1.326076883,103.8893356,BLUE,MACPHERSON MRT STATION,DT26
1.326876715,103.8832341,BLUE,MATTAR MRT STATION,DT25
1.313607102,103.8378098,BLUE,NEWTON MRT STATION,DT11
1.292891552,103.860846,BLUE,PROMENADE MRT STATION,DT15
1.306800025,103.8496427,BLUE,ROCHOR MRT STATION,DT13
1.330786387,103.7972561,BLUE,SIXTH AVENUE MRT STATION,DT7
1.320065557,103.8260263,BLUE,STEVENS MRT STATION,DT10
1.356191483,103.9546005,BLUE,TAMPINES EAST MRT STATION,DT33
1.355077429,103.9430298,BLUE,TAMPINES MRT STATION,DT32
1.345515305,103.938408,BLUE,TAMPINES WEST MRT STATION,DT31
1.325883209,103.8073292,BLUE,TAN KAH KEE MRT STATION,DT8
1.282289536,103.8482991,BLUE,TELOK AYER MRT STATION,DT18
1.329956826,103.8992348,BLUE,UBI MRT STATION,DT27
1.341737484,103.9614367,BLUE,UPPER CHANGI MRT STATION,DT34
1.362765567,103.8323207,BROWN,BRIGHT HILL MRT STATION,TE7
1.337730858,103.8398387,BROWN,CALDECOTT MRT STATION,TE9
1.384452111,103.836799,BROWN,LENTOR MRT STATION,TE5
1.372860479,103.8369283,BROWN,MAYFLOWER MRT STATION,TE6
1.397431224,103.81849,BROWN,SPRINGLEAF MRT STATION,TE4
1.354021925,103.8338086,BROWN,UPPER THOMSON MRT STATION,TE8
1.437151718,103.7876012,BROWN,WOODLANDS MRT STATION,TE2
1.447989954,103.7854214,BROWN,WOODLANDS NORTH MRT STATION,TE1
1.427389005,103.7931401,BROWN,WOODLANDS SOUTH MRT STATION,TE3
1.316432612,103.882893,GREEN,ALJUNIED MRT STATION,EW9
1.323979969,103.9299587,GREEN,BEDOK MRT STATION,EW5
1.338604054,103.7060994,GREEN,BOON LAY MRT STATION,EW27
1.300465076,103.8557007,GREEN,BUGIS MRT STATION,EW12
1.307183467,103.7902028,GREEN,BUONA VISTA MRT STATION,EW21
1.342352821,103.7326244,GREEN,CHINESE GARDEN MRT STATION,EW25
1.292936243,103.852581,GREEN,CITY HALL MRT STATION,EW13
1.314954492,103.7653168,GREEN,CLEMENTI MRT STATION,EW23
1.302438735,103.7983136,GREEN,COMMONWEALTH MRT STATION,EW20
1.311405293,103.7786522,GREEN,DOVER MRT STATION,EW22
1.319778952,103.9032339,GREEN,EUNOS MRT STATION,EW7
1.334549778,103.9615134,GREEN,EXPO MRT STATION,CG1
1.319505215,103.6605988,GREEN,GUL CIRCLE MRT STATION,EW30
1.327717173,103.6784167,GREEN,JOO KOON MRT STATION,EW29
1.33315262,103.7423112,GREEN,JURONG EAST MRT STATION,EW24
1.31148891,103.8713766,GREEN,KALLANG MRT STATION,EW10
1.321038249,103.9129282,GREEN,KEMBANGAN MRT STATION,EW6
1.344259249,103.7209802,GREEN,LAKESIDE MRT STATION,EW26
1.30735702,103.8628215,GREEN,LAVENDER MRT STATION,EW11
1.279764543,103.8395732,GREEN,OUTRAM PARK MRT STATION,EW16
1.372983774,103.9492348,GREEN,PASIR RIS MRT STATION,EW1
1.318112082,103.8930446,GREEN,PAYA LEBAR MRT STATION,EW8
1.337586882,103.6973586,GREEN,PIONEER MRT STATION,EW28
1.294860933,103.8058913,GREEN,QUEENSTOWN MRT STATION,EW19
1.284125611,103.8514572,GREEN,RAFFLES PLACE MRT STATION,EW14
1.289562726,103.8168209,GREEN,REDHILL MRT STATION,EW18
1.343202895,103.9533387,GREEN,SIMEI MRT STATION,EW3
1.353301356,103.9451175,GREEN,TAMPINES MRT STATION,EW2
1.327187135,103.9463161,GREEN,TANAH MERAH MRT STATION,EW4
1.276521247,103.8458611,GREEN,TANJONG PAGAR MRT STATION,EW15
1.286193393,103.827021,GREEN,TIONG BAHRU MRT STATION,EW17
1.321026553,103.6491245,GREEN,TUAS CRESCENT MRT STATION,EW31
1.340463766,103.6369324,GREEN,TUAS LINK MRT STATION,EW33
1.329989089,103.6396662,GREEN,TUAS WEST ROAD MRT STATION,EW32
1.388092704,103.9054179,OTHERS,BAKAU LRT STATION,SE3
1.380017897,103.7726667,OTHERS,BANGKIT LRT STATION,BP9
1.377909898,103.763034,OTHERS,BUKIT PANJANG LRT STATION,BP6
1.357314545,103.9883212,OTHERS,CHANGI AIRPORT MRT STATION,CG2
1.396277631,103.8937792,OTHERS,CHENG LIM LRT STATION,SW1
1.38483636,103.7445797,OTHERS,CHOA CHU KANG LRT STATION,BP1
1.394493046,103.9004726,OTHERS,COMPASSVALE LRT STATION,SE1
1.393909226,103.9125574,OTHERS,CORAL EDGE LRT STATION,PE3
1.399281985,103.9059403,OTHERS,COVE LRT STATION,PE1
1.405234836,103.9085809,OTHERS,DAMAI LRT STATION,PE7
1.384520796,103.7708268,OTHERS,FAJAR LRT STATION,BP10
1.397170196,103.8892882,OTHERS,FARMWAY LRT STATION,SW2
1.391885888,103.8762959,OTHERS,FERNVALE LRT STATION,SW5
1.386703025,103.7645235,OTHERS,JELAPANG LRT STATION,BP12
1.399584853,103.9164619,OTHERS,KADALOOR LRT STATION,PE5
1.383978902,103.9021539,OTHERS,KANGKAR LRT STATION,SE4
1.378602766,103.7490799,OTHERS,KEAT HONG LRT STATION,BP3
1.398212828,103.881242,OTHERS,KUPANG LRT STATION,SW3
1.392079839,103.8800158,OTHERS,LAYAR LRT STATION,SW6
1.276150637,103.8550886,YELLOW,MARINA BAY MRT STATION,CE2
1.396912053,103.9089277,OTHERS,MERIDIAN LRT STATION,PE2
1.411870458,103.9002935,OTHERS,NIBONG LRT STATION,PW5
1.402286677,103.9127036,OTHERS,OASIS LRT STATION,PE6
1.376142883,103.7712881,OTHERS,PENDING LRT STATION,BP8
1.377750334,103.7666882,OTHERS,PETIR LRT STATION,BP7
1.378618844,103.7580559,OTHERS,PHOENIX LRT STATION,BP5
1.405194701,103.9023911,OTHERS,PUNGGOL LRT STATION,PTC
1.41684852,103.9066284,OTHERS,PUNGGOL POINT LRT STATION,PW3
1.384233561,103.897176,OTHERS,RANGGUNG LRT STATION,SE5
1.386723922,103.8905227,OTHERS,RENJONG LRT STATION,SW8
1.394524496,103.9161415,OTHERS,RIVIERA LRT STATION,PE4
1.391468497,103.9059522,OTHERS,RUMBIA LRT STATION,SE2
1.409612685,103.9048099,OTHERS,SAM KEE LRT STATION,PW1
1.415901719,103.9021353,OTHERS,SAMUDERA LRT STATION,PW4
1.387772131,103.7696171,OTHERS,SEGAR LRT STATION,BP11
1.391609364,103.8954243,OTHERS,SENGKANG LRT STATION,STC
1.382692296,103.7623879,OTHERS,SENJA LRT STATION,BP13
1.405088585,103.8971904,OTHERS,SOO TECK LRT STATION,PW7
1.380298287,103.7453173,OTHERS,SOUTH VIEW LRT STATION,BP2
1.408452426,103.8985387,OTHERS,SUMANG LRT STATION,PW6
1.412770894,103.9065554,OTHERS,TECK LEE LRT STATION,PW2
1.376684679,103.7537352,OTHERS,TECK WHYE LRT STATION,BP4
1.380321008,103.760161,OTHERS,TEN MILE JUNCTION LRT STATION,BP14
1.397318155,103.8756226,OTHERS,THANGGAM LRT STATION,SW4
1.389347953,103.8858287,OTHERS,TONGKANG LRT STATION,SW7
1.319395706,103.861679,PURPLE,BOON KENG MRT STATION,NE9
1.382877858,103.8931042,PURPLE,BUANGKOK MRT STATION,NE15
1.284359578,103.8434242,PURPLE,CHINATOWN MRT STATION,NE4
1.288386024,103.8465519,PURPLE,CLARKE QUAY MRT STATION,NE5
1.299705459,103.8454851,PURPLE,DHOBY GHAUT MRT STATION,NE6
1.31235984,103.8541717,PURPLE,FARRER PARK MRT STATION,NE8
1.26547264,103.821446,PURPLE,HARBOURFRONT MRT STATION,NE1
1.371292292,103.8923636,PURPLE,HOUGANG MRT STATION,NE14
1.360179171,103.8850503,PURPLE,KOVAN MRT STATION,NE13
1.307198223,103.8485807,PURPLE,LITTLE INDIA MRT STATION,NE7
1.308382639,103.8886482,PURPLE,OUTRAM PARK MRT STATION,NE3
1.331379525,103.869046,PURPLE,POTONG PASIR MRT STATION,NE10
1.404546728,103.902052,PURPLE,PUNGGOL MRT STATION,NE17
1.391694626,103.8954664,PURPLE,SENGKANG MRT STATION,NE16
1.349707875,103.8735637,PURPLE,SERANGOON MRT STATION,NE12
1.339190046,103.8708081,PURPLE,WOODLEIGH MRT STATION,NE11
1.440585001,103.8009982,RED,ADMIRALTY MRT STATION,NS10
1.369933175,103.8495535,RED,ANG MO KIO MRT STATION,NS16
1.350838988,103.8481398,RED,BISHAN MRT STATION,NS17
1.340471684,103.8467942,RED,BRADDELL MRT STATION,NS18
1.349034109,103.74959,RED,BUKIT BATOK MRT STATION,NS2
1.358761857,103.7519164,RED,BUKIT GOMBAK MRT STATION,NS3
1.385361693,103.744367,RED,CHOA CHU KANG MRT STATION,NS4
1.292936243,103.852581,RED,CITY HALL MRT STATION,NS25
1.298701307,103.8461119,RED,DHOBY GHAUT MRT STATION,NS24
1.33315262,103.7423112,RED,JURONG EAST MRT STATION,NS1
1.41738337,103.83298,RED,KHATIB MRT STATION,NS14
1.425177699,103.7621874,RED,KRANJI MRT STATION,NS7
1.276427355,103.8545925,RED,MARINA BAY MRT STATION,NS27
1.271336711,103.8628525,RED,MARINA SOUTH PIER MRT STATION,NS28
1.432514421,103.77409,RED,MARSILING MRT STATION,NS8
1.3123201,103.8379841,RED,NEWTON MRT STATION,NS21
1.320440791,103.8438228,RED,NOVENA MRT STATION,NS20
1.303981012,103.8322417,RED,ORCHARD MRT STATION,NS22
1.284125611,103.8514572,RED,RAFFLES PLACE MRT STATION,NS26
1.449050821,103.8200504,RED,SEMBAWANG MRT STATION,NS11
1.300260055,103.8390737,RED,SOMERSET MRT STATION,NS23
1.332628987,103.8474979,RED,TOA PAYOH MRT STATION,NS19
1.436875128,103.7864999,RED,WOODLANDS MRT STATION,NS9
1.397535018,103.7474307,RED,YEW TEE MRT STATION,NS5
1.381756046,103.8449439,RED,YIO CHU KANG MRT STATION,NS15
1.429443081,103.8350045,RED,YISHUN MRT STATION,NS13
1.342828338,103.8797462,YELLOW,BARTLEY MRT STATION,CC12
1.281873788,103.8590733,YELLOW,BAYFRONT MRT STATION,CE1
1.35130868,103.84915,YELLOW,BISHAN MRT STATION,CC15
1.322110193,103.8149876,YELLOW,BOTANIC GARDENS MRT STATION,CC19
1.296861687,103.8506629,YELLOW,BRAS BASAH MRT STATION,CC2
1.333728882,103.8306903,YELLOW,BUKIT BROWN MRT STATION,CC18
1.306491669,103.7906645,YELLOW,BUONA VISTA MRT STATION,CC22
1.337674508,103.8395281,YELLOW,CALDECOTT MRT STATION,CC17
1.281404978,103.839125,YELLOW,DAKOTA MRT STATION,CC8
1.298842816,103.8462358,YELLOW,DHOBY GHAUT MRT STATION,CC1
1.293321608,103.8554985,YELLOW,ESPLANADE MRT STATION,CC3
1.317510612,103.8075929,YELLOW,FARRER ROAD MRT STATION,CC20
1.26547264,103.821446,YELLOW,HARBOURFRONT MRT STATION,CC29
1.282542157,103.7818234,YELLOW,HAW PAR VILLA MRT STATION,CC25
1.31183479,103.7962016,YELLOW,HOLLAND VILLAGE MRT STATION,CC21
1.293462633,103.7846438,YELLOW,KENT RIDGE MRT STATION,CC24
1.272332732,103.8029471,YELLOW,LABRADOR PARK MRT STATION,CC27
1.351612171,103.8641434,YELLOW,LORONG CHUAN MRT STATION,CC14
1.326345372,103.8902718,YELLOW,MACPHERSON MRT STATION,CC10
1.348707263,103.8394214,YELLOW,MARYMOUNT MRT STATION,CC16
1.306201905,103.8825153,YELLOW,MOUNTBATTEN MRT STATION,CC7
1.299766835,103.8636292,YELLOW,NICOLL HIGHWAY MRT STATION,CC5
1.299759879,103.7874693,YELLOW,ONE-NORTH MRT STATION,CC23
1.276213523,103.7913607,YELLOW,PASIR PANJANG MRT STATION,CC26
1.317430268,103.8921633,YELLOW,PAYA LEBAR MRT STATION,CC9
1.293218051,103.8609921,YELLOW,PROMENADE MRT STATION,CC4
1.350595256,103.8723572,YELLOW,SERANGOON MRT STATION,CC13
1.30284063,103.8753395,YELLOW,STADIUM MRT STATION,CC6
1.335433322,103.88818,YELLOW,TAI SENG MRT STATION,CC11
1.270753211,103.8097544,YELLOW,TELOK BLANGAH MRT STATION,CC28
