title,site_url,storename,address,area,opening_hours,cuisine
Wan Mei Dessert 碗美 – New Traditional Dessert Shop Serving Customisable Taiwanese-Inspired Snow Ice in The Odeon Katong - Miss Tam Chiak,https://www.misstamchiak.com/wan-mei-dessert/,Wan Mei Dessert 碗美,"11 East Coast Road, The Odeon Katong #01-14, Singapore 428722",East,12pm to 10.30pm Wednesday to Monday. Closed on Tuesday,Chinese
"Abang Western Power – Muslim-Owned Stall Sells Sloppy Burgers, Fish & Chips Under $10 in Ang Mo Kio Coffeeshop - Miss Tam Chiak",https://www.misstamchiak.com/abang-western-power/,Abang Western Power,"340 Ang Mo Kio Avenue 1, Singapore 560340",Central,"11.30am – 1am on Tuesday to Saturday, 3pm - 1am on Sunday, Closed on Monday.",Western
初早餐 True Breakfast – Authentic Taiwanese Breakfast Joint Selling Delectable Omelettes & Sandwiches Hidden in Cuppage Plaza! - Miss Tam Chiak,https://www.misstamchiak.com/true-breakfast/,初早餐 True Breakfast,"5 Koek Road, Cuppage Plaza #B1-19/20, Singapore 228796",,"9am to 2pm on Monday, Wednsday - Thursday, Sunday. 9am to 2pm, 5.30pm - 8pm on Friday and Saturday. Closed on Tuesdays.",Taiwan
Wen Ge Charcoal Delights - Delicious Smoked & Roasted Meats in Bukit Merah View!,https://www.misstamchiak.com/wen-ge-charcoal-delights/,Wen Ge Charcoal Delights,"Blk 116, #01-253, Bukit Merah View, Singapore 151116",Tiong Bahru,9am to 9pm daily.,
La Porpo – Tantalising Ayam Goreng With House-Made Sambals at Jalan Besar(Recommended by Chef Bjorn Shen)! - Miss Tam Chiak,https://www.misstamchiak.com/la-porpo/,La Porpo,"29/31 Jalan Besar, Singapore 208798",South,12pm to 9pm Tuesday to Sunday. Closed on Mondays.,Malay
"Daun Bistro - Show-Stopping Indonesian & Western Style Tapas, Mains and Cocktails",https://www.misstamchiak.com/daun-bistro/,Daun Bistro,"14 Purvis St, Singapore 188593",,11.30am to 9pm Tuesday to Sunday.,Indonesian Western
Beach Road Kitchen - A Luxurious Christmas Buffet Spread for a Jolly Good Time! - Miss Tam Chiak,https://www.misstamchiak.com/beach-road-kitchen-christmas-2021/,Beach Road Kitchen,"JW Marriott Hotel Singapore South Beach, 30 Beach Road, Singapore 189763 (Access via Nicoll Highway)",,,
Jia Xiang Wei 家乡味 Fish Soup – Seafood Porridge by The Fat Chef in Serangoon Coffee Shop - Miss Tam Chiak,https://www.misstamchiak.com/jia-xiang-wei-fish-soup/,Jia Xiang Wei 家乡味 Fish Soup,"151 Serangoon North Avenue 2, Singapore 550151",North-East,,Chinese
Penang Savour - Treat Yourself to an Array of Penang-Style Dishes at This Ang Mo Kio Eatery,https://www.misstamchiak.com/penang-savour/,Penang Savour,"Blk 709, Ang Mo Kio Avenue 8, #01-2587, Singapore 560709",Ang Mo Kio,10am to 9pm daily.,
Meng Meng Roasted Duck – Famous Johor Bahru Shop Selling Juicy Duck & Caramelised Char Shiew Opens First Outlet in Singapore! - Miss Tam Chiak,https://www.misstamchiak.com/meng-meng-roasted-duck/,Meng Meng Roasted Duck,"721 Ang Mo Kio Ave 8, 01-2823, Singapore 560721,",Central,11.30am to 8pm Monday to Sunday. Closed on Wednesdays.,Chinese
Yuan Lang Soy Sauce Chicken Master - Ex-Mulia Hotel Chef Sells HK-Style Poached Chicken Rice in Chinatown Complex Food Centre - Miss Tam Chiak,https://www.misstamchiak.com/yuan-lang-soy-sauce-chicken-master/,Yuan Lang Soy Sauce Chicken Master,"335 Smith St, #02-041 Chinatown Complex Food Centre, Singapore 050335, West Mall, Singapore 658713",Central,"11.30am - 6pm Tuesdays, 11.30am - 7pm Thursday to Monday. Closed on Wednesdays",Chinese
Mr Egg Fried Rice - Bishan Stall With Four Kinds of Fried Rice and a Variety of Toppings,https://www.misstamchiak.com/mr-egg-fried-rice/,Mr Egg Fried Rice,"Blk 151, Bishan Street 11, #01-195, Singapore 570151",Bishan,"11am to 2.30pm, 4pm to 8.30pm daily.",
Best Chinese New Year Goodies You Must Try in Singapore - Miss Tam Chiak,https://www.misstamchiak.com/best-chinese-new-year-goodies/,Pineapple Tarts Singapore,"11 Sin Ming Road, Thomson V Two #01-30, Singapore 575629",North,10am to 6pm daily.,
Serangoon BBQ & Curry - Sedap Nasi Padang Set Meals With Butterfly Pea Rice in Sin Ming,https://www.misstamchiak.com/serangoon-bbq-curry/,Serangoon BBQ & Curry,"22 Sin Ming Road, #01-210, Singapore 570022",,"10am to 3pm Monday, Wednesday to Sunday.",
10 Best Tasting Pineapple Tarts You Should Try in Singapore,https://www.misstamchiak.com/10-best-pineapple-tarts-in-singapore/,Pineapple Tarts Singapore,"11 Sin Ming Road, Thomson V Two #01-30, Singapore 575629",,,
Sing Swee Kee – $2.50 Crispy Fried Chicken Rice Balls at Toa Payoh HDB Hub - Miss Tam Chiak,https://www.misstamchiak.com/sing-swee-kee/,Sing Swee Kee,"500 Lor 6 Toa Payoh, Koufu #02-30, Singapore 310500",Central,9am to 9pm daily.,
Hong Lim Prawn Noodles – Tasty Prawn Mee With Rich Broth & Large Prawns in Hong Lim Market & Food Centre! - Miss Tam Chiak,https://www.misstamchiak.com/hong-lim-prawn-noodles/,Hong Lim Prawn Noodles,"531A Upper Cross St, Hong Lim Market & Food Centre #01-64, Singapore 051531",Central,10am to 6.30pm from Monday to Saturday. Closed on Sundays,Chinese
Deng Wen Ji 鄧文记 @ Haig – New Outlet Offers Delicious Smoky Charcoal Claypot Rice & Wanton Mee - Miss Tam Chiak,https://www.misstamchiak.com/deng-wen-ji-haig/,Deng Wen Ji @ Haig,"26 Haig Road, Singapore 438735",,,Chinese
"Hong Style Fried Rice – Former Din Tai Fung Chefs Sell Affordable Delicious Pork Chop, Shrimp Fried Rice in Ang Mo Kio Coffee Shop - Miss Tam Chiak",https://www.misstamchiak.com/hong-style-fried-rice/,Hong Style Fried Rice,"Blk 332 Ang Mo Kio Ave 1, Singapore 560332",Central,11am to 5pm on Tuesday to Sunday. Closed on Monday.,Chinese
Mr Wong Seremban Beef Noodle - Former Marine Parade Favourite Is Now In Tampines!,https://www.misstamchiak.com/mr-wong-seremban-beef-noodle/,Mr Wong Seremban Beef Noodle,"Blk 929, Tampines Street 91, Singapore 520929",Tampines,"10am to 7pm Monday, Wednesday to Sunday.",
Ah Gong Minced Pork Noodle – Special $2.50 Claypot Bak Chor Mee in Maxwell Food Centre! - Miss Tam Chiak,https://www.misstamchiak.com/ah-gong-minced-pork-noodle/,Ah Gong Minced Pork Noodle,"1 Kadayanallur Street, Maxwell Food Centre, #01-02, Singapore 069184",South,10.30am to 3pm Monday to Saturday.,Chinese
Burger House – Ex-Omakase Burger Head Chef Sells $7.90 Juicy Burgers with Handmade Beef Patties in Beauty World Food Centre - Miss Tam Chiak,https://www.misstamchiak.com/burger-house/,Burger House,"144 Upper Bukit Timah Road, Beauty World Food Centre #04-42, Singapore 588177",South," 11am-4pm on Monday to Thursday, 11am-7.30pm on Friday and Saturday, 11am - 5pm on Sunday.",Western
Boon Café – Cozy Minimalistic Cafe Hidden in ITE College Central Ang Mo Kio Where Everything is Below $10 - Miss Tam Chiak,https://www.misstamchiak.com/boon-cafe/,Boon Café,"2 Ang Mo Kio Dr, #02-11/12 ITE College Central Blk F, Singapore 567720",North-East,8am to 5pm from Monday to Friday. 8am to 2pm on Saturday. Sunday closed,
