"ENTITY","CODE","YEAR","INCIDENCE_PER_1K_AT_RISK","DEATHS_PER_100K","INCIDENCE_PER_100K_AT_RISK","MORTALITY_IF_INFECTED_pct"
"Afghanistan","AFG",2000,107.1,7.93994910036,10710,0.0741358459417367
"Afghanistan","AFG",2005,46.5,8.55104232466,4650,0.183893383326021
"Afghanistan","AFG",2010,23.9,7.27124898112,2390,0.304236359042678
"Afghanistan","AFG",2015,23.6,7.19228299167,2360,0.304757753884322
"Algeria","DZA",2000,0.0377462634893113,0.0265302728925,3.77462634893113,0.702858255096233
"Algeria","DZA",2005,0.0020214096726801,0.0252430980577,0.20214096726801,12.4878684409535
"Algeria","DZA",2010,0.00127316248422274,0.0226293845359,0.127316248422274,17.7741528016474
"Algeria","DZA",2015,0.00190354202026867,0.0216291231219,0.190354202026867,11.3625666739141
"Angola","AGO",2000,315.6,32.0451917462,31560,0.101537362947402
"Angola","AGO",2005,299.5,54.0792880263,29950,0.180565235480134
"Angola","AGO",2010,114.2,31.9177779158,11420,0.279490174394045
"Angola","AGO",2015,124,28.3801208333,12400,0.228871942204032
"Argentina","ARG",2000,2.5,0.0161024885039,250,0.00644099540156
"Argentina","ARG",2005,2,0.0111537083202,200,0.0055768541601
"Argentina","ARG",2010,0.1,0.00808258856245,10,0.0808258856245
"Argentina","ARG",2015,0,0.00568589798168,0,Inf
"Azerbaijan","AZE",2000,17.9,0.0230476012404,1790,0.0012875754882905
"Azerbaijan","AZE",2005,2.7,0.0167859938567,270,0.00621703476174074
"Azerbaijan","AZE",2010,0.5,0.0110879585827,50,0.0221759171654
"Azerbaijan","AZE",2015,0,0.00697560049415,0,Inf
"Bangladesh","BGD",2000,12.5,2.75141807127,1250,0.2201134457016
"Bangladesh","BGD",2005,12.6,1.75081008901,1260,0.13895318166746
"Bangladesh","BGD",2010,8.6,1.3443825544,860,0.156323552837209
"Bangladesh","BGD",2015,0.8,1.12976614961,80,1.4122076870125
"Belize","BLZ",2000,20.5,0.224265841669,2050,0.0109397971545854
"Belize","BLZ",2005,18.7,0.143190429921,1870,0.00765724224176471
"Belize","BLZ",2010,1.6,0.101567485166,160,0.06347967822875
"Belize","BLZ",2015,0.1,0.0865859025173,10,0.865859025173
"Benin","BEN",2000,388.8,70.2447499504,38880,0.180670653164609
"Benin","BEN",2005,420.6,107.067925393,42060,0.254559974781265
"Benin","BEN",2010,331.6,83.3210947806,33160,0.251269887758142
"Benin","BEN",2015,293.7,69.5025985285,29370,0.236644870713313
"Bhutan","BTN",2000,26.4,4.78488626403,2640,0.181245691819318
"Bhutan","BTN",2005,7,3.79996599384,700,0.542852284834286
"Bhutan","BTN",2010,1.5,3.21267142946,150,2.14178095297333
"Bhutan","BTN",2015,0.1,2.45161815749,10,24.5161815749
"Bolivia","BOL",2000,24.3,0.189916243295,2430,0.00781548326316872
"Bolivia","BOL",2005,13.6,0.122888864333,1360,0.00903594590683823
"Bolivia","BOL",2010,8.4,0.0997354988116,840,0.0118732736680476
"Bolivia","BOL",2015,3.9,0.085561354559,390,0.021938808861282
"Botswana","BWA",2000,44,1.71413766101,4400,0.0389576741138636
"Botswana","BWA",2005,3.5,1.41792869166,350,0.405122483331429
"Botswana","BWA",2010,4.7,1.15497733421,470,0.245739858342553
"Botswana","BWA",2015,0.9,1.12599707102,90,1.25110785668889
"Brazil","BRA",2000,62.6,0.088973037629,6260,0.0014212945308147
"Brazil","BRA",2005,38.7,0.0583631519447,3870,0.0015080917815168
"Brazil","BRA",2010,19.4,0.044187525421,1940,0.00227770749592784
"Brazil","BRA",2015,7.9,0.037736036016,790,0.00477671341974684
"Burkina Faso","BFA",2000,621.6,180.98787267,62160,0.291164531322394
"Burkina Faso","BFA",2005,549.8,188.93741275,54980,0.343647531375046
"Burkina Faso","BFA",2010,601.4,179.864739452,60140,0.299076720073163
"Burkina Faso","BFA",2015,389.2,139.622109988,38920,0.35874128979445
"Burundi","BDI",2000,418.8,182.965699169,41880,0.436880848063515
"Burundi","BDI",2005,273.3,110.764123498,27330,0.405284023044274
"Burundi","BDI",2010,198.2,82.8238283588,19820,0.417880062355197
"Burundi","BDI",2015,126.3,50.8257712447,12630,0.402420991644497
"Cambodia","KHM",2000,207,21.4929775238,20700,0.10383080929372
"Cambodia","KHM",2005,48.7,17.6298124612,4870,0.362008469429158
"Cambodia","KHM",2010,20.5,16.0720952247,2050,0.784004645107317
"Cambodia","KHM",2015,13,14.2930084005,1300,1.09946218465385
"Cameroon","CMR",2000,461.1,127.147619923,46110,0.275748470880503
"Cameroon","CMR",2005,515.7,161.946986367,51570,0.31403332628854
"Cameroon","CMR",2010,321.8,106.411809625,32180,0.330676847809198
"Cameroon","CMR",2015,264.2,92.5124756585,26420,0.350160770849735
"Cape Verde","CPV",2000,8.6,0.0924417162394,860,0.0107490367720233
"Cape Verde","CPV",2005,3.6,0.0819748446131,360,0.0227707901703056
"Cape Verde","CPV",2010,2.2,0.0770766247916,220,0.0350348294507273
"Cape Verde","CPV",2015,0.2,0.0699356039093,20,0.3496780195465
"Central African Republic","CAF",2000,437.6,82.8070514534,43760,0.189230007891682
"Central African Republic","CAF",2005,467.7,98.7115429922,46770,0.211057393611717
"Central African Republic","CAF",2010,365,82.7872217906,36500,0.226814306275616
"Central African Republic","CAF",2015,289.5,57.3914400867,28950,0.198243316361658
"Chad","TCD",2000,241.5,49.646158124,24150,0.205574153722567
"Chad","TCD",2005,259.8,47.5775821223,25980,0.183131570909546
"Chad","TCD",2010,193.9,39.0712135638,19390,0.201501875006704
"Chad","TCD",2015,163.2,35.7889881765,16320,0.219295270689338
"China","CHN",2000,0.1,0.0203924892132,10,0.203924892132
"China","CHN",2005,0.1,0.0179363321634,10,0.179363321634
"China","CHN",2010,0.0208272052376093,0.0142121392963,2.08272052376093,0.682383408343047
"China","CHN",2015,0.00015854516612699,0.0123589917452,0.015854516612699,77.952497998588
"Colombia","COL",2000,59,0.280486919106,5900,0.0047540155780678
"Colombia","COL",2005,32.2,0.187318939728,3220,0.00581735837664596
"Colombia","COL",2010,29.8,0.128764631231,2980,0.00432096077956376
"Colombia","COL",2015,12.3,0.108482850457,1230,0.0088197439395935
"Comoros","COM",2000,280.8,0.283350794668,28080,0.00100908402659544
"Comoros","COM",2005,251.2,0.242905590609,25120,0.000966980854335191
